Title,Genres,Release Year,Budget ($),Revenue ($),Vote Average,Vote Count,Return on Investment,Profit ($),,,,
Pride and Prejudice and Zombies,Romance,2016,28000000,16374328,5.5,640,-0.42,-11625672,,,,
Sausage Party,Adventure,2016,19000000,140752617,5.6,2238,6.41,121752617,,,,
Eddie the Eagle,Comedy,2016,23000000,46152800,7.2,661,1.01,23152800,,,,
Florence Foster Jenkins,Comedy,2016,29000000,48902953,6.6,392,0.69,19902953,,,,
Keanu,Action,2016,15000000,20566327,6,421,0.37,5566327,,,,
The Shallows,Horror,2016,17000000,119100758,6.2,1567,6.01,102100758,,,,
The Boss,Comedy,2016,29000000,78636257,5.5,431,1.71,49636257,,,,
Suicide Squad,Action,2016,175000000,745000000,5.9,7458,3.26,570000000,,,,
Kung Fu Panda 3,Action,2016,145000000,521170825,6.7,1603,2.59,376170825,,,,
London Has Fallen,Action,2016,60000000,205754447,5.8,1621,2.43,145754447,,,,
Ghostbusters,Action,2016,144000000,229147509,5.3,2142,0.59,85147509,,,,
The Jungle Book,Family,2016,175000000,966550600,6.7,2892,4.52,791550600,,,,
The Angry Birds Movie,Family,2016,73000000,349779543,5.9,1022,3.79,276779543,,,,
Star Trek Beyond,Action,2016,185000000,343471816,6.6,2568,0.86,158471816,,,,
Miracles from Heaven,Drama,2016,16000000,77000000,6.7,186,3.81,61000000,,,,
The Forest,Horror,2016,10000000,40055439,4.8,448,3.01,30055439,,,,
The Monkey King 2,Action,2016,68490000,193677158,6,24,1.83,125187158,,,,
Captain America: Civil War,Adventure,2016,250000000,1153304495,7.1,7241,3.61,903304495,,,,
Money Monster,Thriller,2016,27000000,93282604,6.5,1068,2.45,66282604,,,,
Alice Through the Looking Glass,Fantasy,2016,170000000,299370084,6.5,1725,0.76,129370084,,,,
Warcraft,Action,2016,160000000,433677183,6.3,2268,1.71,273677183,,,,
Deadpool,Action,2016,58000000,783112979,7.4,10995,12.50,725112979,,,,
Fifty Shades of Grey,Drama,2015,40000000,571006128,5.2,3254,13.28,531006128,,,,
Strangerland,Drama,2015,10000000,17472,5.1,83,-1.00,-9982528,,,,
The Last Witch Hunter,Fantasy,2015,90000000,146936910,5.7,1316,0.63,56936910,,,,
Pixels,Action,2015,88000000,243637091,5.6,2513,1.77,155637091,,,,
Secret in Their Eyes,Crime,2015,19500000,34854990,6.2,336,0.79,15354990,,,,
Woman in Gold,Drama,2015,11000000,61619773,7.3,440,4.60,50619773,,,,
Brooklyn,Drama,2015,11000000,62076141,7.2,1213,4.64,51076141,,,,
The DUFF,Romance,2015,8500000,43528634,6.8,1322,4.12,35028634,,,,
Inside Out,Drama,2015,175000000,857611174,8,6560,3.90,682611174,,,,
The Intern,Comedy,2015,35000000,194564672,7.1,1881,4.56,159564672,,,,
The Big Short,Comedy,2015,28000000,133346506,7.3,2607,3.76,105346506,,,,
Max,Adventure,2015,20000000,43967255,6.8,276,1.20,23967255,,,,
Spotlight,Drama,2015,20000000,88346473,7.8,2686,3.42,68346473,,,,
Cinderella,Romance,2015,95000000,543514353,6.7,2374,4.72,448514353,,,,
Everest,Adventure,2015,55000000,203427584,6.7,1772,2.70,148427584,,,,
Pitch Perfect 2,Comedy,2015,29000000,287506194,6.8,1940,8.91,258506194,,,,
90 Minutes in Heaven,Drama,2015,5000000,4842699,5.4,40,-0.03,-157301,,,,
Run All Night,Action,2015,50000000,71561644,6.3,1148,0.43,21561644,,,,
Project Almanac,Sci-Fi,2015,12000000,32248241,6.4,933,1.69,20248241,,,,
Straight Outta Compton,Drama,2015,28000000,201634991,7.7,1355,6.20,173634991,,,,
Child 44,Crime,2015,50000000,3324330,6.1,547,-0.93,-46675670,,,,
Chappie,Crime,2015,49000000,104399548,6.6,3062,1.13,55399548,,,,
Unfriended,Horror,2015,1000000,62882090,5.5,1047,61.88,61882090,,,,
Get Hard,Comedy,2015,40000000,111811453,5.9,944,1.80,71811453,,,,
Burnt,Drama,2015,20000000,36606743,6.3,950,0.83,16606743,,,,
By the Sea,Drama,2015,10000000,3727746,5.4,156,-0.63,-6272254,,,,
The Good Dinosaur,Adventure,2015,175000000,331926147,6.6,1736,0.90,156926147,,,,
Little Boy,Comedy,2015,20000000,6420319,7,185,-0.68,-13579681,,,,
Ted 2,Comedy,2015,68000000,217022588,6.2,2463,2.19,149022588,,,,
The Hunger Games: Mockingjay - Part 2,Action,2015,160000000,653428261,6.6,3984,3.08,493428261,,,,
Victor Frankenstein,Drama,2015,40000000,34227298,5.6,685,-0.14,-5772702,,,,
The Visit,Horror,2015,5000000,98450062,6,1360,18.69,93450062,,,,
Avengers: Age of Ultron,Action,2015,280000000,1405403694,7.3,6767,4.02,1125403694,,,,
Spectre,Action,2015,245000000,880674609,6.3,4466,2.59,635674609,,,,
Jurassic World,Action,2015,150000000,1513528810,6.5,8662,9.09,1363528810,,,,
Magic Mike XXL,Comedy,2015,14800000,122513057,6.3,706,7.28,107713057,,,,
Furious 7,Action,2015,190000000,1506249360,7.3,4176,6.93,1316249360,,,,
While We're Young,Comedy,2015,10000000,7587485,5.8,383,-0.24,-2412515,,,,
The Hateful Eight,Crime,2015,44000000,155760117,7.6,4274,2.54,111760117,,,,
Mad Max: Fury Road,Action,2015,150000000,378858340,7.2,9427,1.53,228858340,,,,
Dragon Blade,Action,2015,65000000,121545703,5.9,145,0.87,56545703,,,,
Freeheld,Romance,2015,7000000,573335,7.1,164,-0.92,-6426665,,,,
Jupiter Ascending,Sci-Fi,2015,176000003,183987723,5.2,2768,0.05,7987720,,,,
Blackhat,Crime,2015,70000000,17752940,5.1,826,-0.75,-52247060,,,,
Tomorrowland,Adventure,2015,190000000,209154322,6.2,2846,0.10,19154322,,,,
Focus,Romance,2015,50100000,153962963,6.7,2542,2.07,103862963,,,,
The Assassin,Action,2015,15000000,632542,6.6,157,-0.96,-14367458,,,,
Maze Runner: The Scorch Trials,Action,2015,61000000,311256926,6.4,3040,4.10,250256926,,,,
Self/less,Sci-Fi,2015,26000000,30523226,6.3,1091,0.17,4523226,,,,
Southpaw,Action,2015,30000000,91709827,7.3,2067,2.06,61709827,,,,
The Age of Adaline,Fantasy,2015,25000000,65663276,7.4,1990,1.63,40663276,,,,
Mi America,Drama,2015,2100000,3330,0,0,-1.00,-2096670,,,,
Fantastic Four,Action,2015,120000000,167977596,4.4,2278,0.40,47977596,,,,
San Andreas,Action,2015,110000000,470490832,6,2968,3.28,360490832,,,,
Insurgent,Adventure,2015,110000000,295238201,6.2,3829,1.68,185238201,,,,
The Diary of a Teenage Girl,Drama,2015,2000000,1477002,6.8,279,-0.26,-522998,,,,
Unfinished Business,Comedy,2015,35000000,14431253,5,320,-0.59,-20568747,,,,
Heist,Crime,2015,8900000,4100000,5.6,318,-0.54,-4800000,,,,
Concussion,Drama,2015,35000000,50363790,7,823,0.44,15363790,,,,
Home,Fantasy,2015,135000000,368871007,6.8,1519,1.73,233871007,,,,
Ant-Man,Sci-Fi,2015,130000000,519311965,7,5880,2.99,389311965,,,,
Mission: Impossible - Rogue Nation,Action,2015,150000000,682330139,7.1,3224,3.55,532330139,,,,
The Little Prince,Adventure,2015,64000000,97571250,7.6,756,0.52,33571250,,,,
Daddy's Home,Comedy,2015,50000000,242786137,5.8,854,3.86,192786137,,,,
Sinister 2,Horror,2015,10000000,52882018,5.4,581,4.29,42882018,,,,
The Man from U.N.C.L.E.,Comedy,2015,75000000,108145109,7.1,2265,0.44,33145109,,,,
Dope,Crime,2015,700000,17986781,7.2,691,24.70,17286781,,,,
The Vatican Tapes,Thriller,2015,13000000,1784763,4.6,243,-0.86,-11215237,,,,
Room,Drama,2015,6000000,35401758,8.1,2757,4.90,29401758,,,,
Mortdecai,Comedy,2015,60000000,30418560,5.4,1055,-0.49,-29581440,,,,
Goosebumps,Adventure,2015,58000000,158162788,6.2,995,1.73,100162788,,,,
Stonewall,Drama,2015,13500000,187674,5.2,32,-0.99,-13312326,,,,
The Longest Ride,Drama,2015,34000000,63013281,7.3,1064,0.85,29013281,,,,
The Revenant,Western,2015,135000000,532950503,7.3,6396,2.95,397950503,,,,
Hot Pursuit,Action,2015,35000000,51680201,5.4,647,0.48,16680201,,,,
The 33,Drama,2015,25000000,24902723,6,378,0.00,-97277,,,,
Captive,Crime,2015,2000000,2801508,5.6,92,0.40,801508,,,,
Legend,Crime,2015,25000000,42972994,6.7,973,0.72,17972994,,,,
We Are Your Friends,Drama,2015,6000000,11122090,6.3,658,0.85,5122090,,,,
Danny Collins,Comedy,2015,10000000,10835752,6.6,183,0.08,835752,,,,
The Gift,Thriller,2015,5000000,58978653,6.7,1049,10.80,53978653,,,,
It Follows,Horror,2015,2000000,14674076,6.6,1832,6.34,12674076,,,,
Sicario,Action,2015,30000000,84025816,7.2,2416,1.80,54025816,,,,
Pan,Adventure,2015,150000000,128388320,5.9,954,-0.14,-21611680,,,,
The Walk,Adventure,2015,35000000,61181942,6.9,1121,0.75,26181942,,,,
Bridge of Spies,Thriller,2015,40000000,165478348,7.2,2583,3.14,125478348,,,,
The SpongeBob Movie: Sponge Out of Water,Animation,2015,74000000,311594032,5.8,719,3.21,237594032,,,,
Joy,Drama,2015,60000000,101134059,6.4,1581,0.69,41134059,,,,
Maggie,Horror,2015,4000000,187112,5.2,593,-0.95,-3812888,,,,
Minions,Family,2015,74000000,1156730962,6.4,4571,14.63,1082730962,,,,
Point Break,Action,2015,105000000,133718711,5.5,783,0.27,28718711,,,,
In the Heart of the Sea,Thriller,2015,100000000,93820758,6.5,1276,-0.06,-6179242,,,,
The Peanuts Movie,Animation,2015,99000000,246233113,6.5,604,1.49,147233113,,,,
Insidious: Chapter 3,Drama,2015,10000000,104303851,6.2,983,9.43,94303851,,,,
The Transporter Refueled,Thriller,2015,25000000,72629670,5.2,559,1.91,47629670,,,,
Our Brand Is Crisis,Comedy,2015,28000000,7002261,5.8,195,-0.75,-20997739,,,,
Terminator Genisys,Sci-Fi,2015,155000000,440603537,5.8,3631,1.84,285603537,,,,
Love the Coopers,Comedy,2015,17000000,24000000,5.4,167,0.41,7000000,,,,
Paper Towns,Drama,2015,12000000,85512300,6.1,1937,6.13,73512300,,,,
Hotel Transylvania 2,Animation,2015,80000000,473226958,6.7,1497,4.92,393226958,,,,
No Escape,Action,2015,5000000,54418872,6.7,777,9.88,49418872,,,,
Steve Jobs,Drama,2015,30000000,34441873,6.8,1573,0.15,4441873,,,,
Anomalisa,Animation,2015,8000000,5659286,7,459,-0.29,-2340714,,,,
Demonic,Thriller,2015,3000000,3387000,4.9,148,0.13,387000,,,,
Vacation,Comedy,2015,31000000,104384188,6.2,1195,2.37,73384188,,,,
The Lazarus Effect,Thriller,2015,3300000,64110728,5.1,505,18.43,60810728,,,,
Black Mass,Crime,2015,53000000,98837872,6.3,1242,0.86,45837872,,,,
Krampus,Horror,2015,15000000,61548707,5.9,584,3.10,46548707,,,,
Baahubali: The Beginning,Action,2015,40000000,100000000,7.5,135,1.50,60000000,,,,
The Boy Next Door,Thriller,2015,4000000,52425855,4.1,1022,12.11,48425855,,,,
Paul Blart: Mall Cop 2,Action,2015,38000000,107597242,5,567,1.83,69597242,,,,
The Gunman,Action,2015,40000000,13644292,5.5,392,-0.66,-26355708,,,,
Creed,Drama,2015,37000000,173567581,7.3,1915,3.69,136567581,,,,
Hot Tub Time Machine 2,Comedy,2015,14000000,12314651,5,354,-0.12,-1685349,,,,
The Gallows,Horror,2015,100000,42664410,4.9,361,425.64,42564410,,,,
The Martian,Drama,2015,108000000,630161890,7.6,7268,4.83,522161890,,,,
Ex Machina,Drama,2015,15000000,36869414,7.6,4737,1.46,21869414,,,,
The Second Best Exotic Marigold Hotel,Drama,2015,10000000,85978266,6.3,272,7.60,75978266,,,,
Ip Man 3,Action,2015,36000000,156844753,6.5,379,3.36,120844753,,,,
Trainwreck,Comedy,2015,35000000,140795793,5.9,1181,3.02,105795793,,,,
Aloha,Drama,2015,37000000,26250020,5.2,692,-0.29,-10749980,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family,2014,28000000,100654149,6.1,493,2.59,72654149,,,,
3 Days to Kill,Action,2014,28000000,52597999,6,883,0.88,24597999,,,,
Edge of Tomorrow,Action,2014,178000000,370541256,7.6,4858,1.08,192541256,,,,
Maleficent,Fantasy,2014,180000000,758539785,7,4496,3.21,578539785,,,,
Big Hero 6,Adventure,2014,165000000,652105443,7.8,6135,2.95,487105443,,,,
X-Men: Days of Future Past,Action,2014,250000000,747862775,7.5,6032,1.99,497862775,,,,
The Amazing Spider-Man 2,Action,2014,200000000,705717432,6.5,4179,2.53,505717432,,,,
Annie,Comedy,2014,65000000,133821816,6,466,1.06,68821816,,,,
Unbroken,Drama,2014,65000000,163442937,7.3,1400,1.51,98442937,,,,
"I, Frankenstein",Horror,2014,65000000,71154592,5,687,0.09,6154592,,,,
Sin City: A Dame to Kill For,Crime,2014,65000000,39407616,6.3,1286,-0.39,-25592384,,,,
The Monuments Men,War,2014,70000000,154984035,5.8,1523,1.21,84984035,,,,
Dracula Untold,Horror,2014,70000000,215529201,6.2,2389,2.08,145529201,,,,
Need for Speed,Action,2014,66000000,203277636,6.1,1520,2.08,137277636,,,,
The Hobbit: The Battle of the Five Armies,Action,2014,250000000,956019788,7.1,4760,2.82,706019788,,,,
Guardians of the Galaxy,Action,2014,170000000,773328629,7.9,9742,3.55,603328629,,,,
Transformers: Age of Extinction,Sci-Fi,2014,210000000,1091405097,5.8,3095,4.20,881405097,,,,
Captain America: The Winter Soldier,Action,2014,170000000,714766572,7.6,5764,3.20,544766572,,,,
That Awkward Moment,Comedy,2014,8000000,26049082,6.1,1004,2.26,18049082,,,,
Nightcrawler,Crime,2014,8500000,38697217,7.6,3395,3.55,30197217,,,,
Heaven is for Real,Drama,2014,12000000,101332962,6,229,7.44,89332962,,,,
Divergent,Adventure,2014,85000000,288747895,6.9,4663,2.40,203747895,,,,
A Most Violent Year,Crime,2014,20000000,12007070,6.5,546,-0.40,-7992930,,,,
Inherent Vice,Comedy,2014,20000000,11110975,6.5,833,-0.44,-8889025,,,,
The Other Woman,Comedy,2014,40000000,196781193,6.2,1437,3.92,156781193,,,,
Dumb and Dumber To,Comedy,2014,40000000,169837010,5.4,1127,3.25,129837010,,,,
If I Stay,Drama,2014,11000000,78874843,7.3,1368,6.17,67874843,,,,
Lucy,Action,2014,40000000,126546825,6.3,5878,2.16,86546825,,,,
The Interview,Action,2014,44000000,12342632,6.1,2304,-0.72,-31657368,,,,
Blended,Comedy,2014,40000000,123494610,6.6,1006,2.09,83494610,,,,
The Green Inferno,Action,2014,5000000,6833445,5,349,0.37,1833445,,,,
Atlas Shrugged Part III: Who is John Galt?,Drama,2014,5000000,846704,3.9,15,-0.83,-4153296,,,,
Kill the Messenger,Thriller,2014,5000000,2450846,6.6,355,-0.51,-2549154,,,,
Taken 3,Thriller,2014,48000000,325771424,6.1,2200,5.79,277771424,,,,
Birdman,Drama,2014,18000000,103215094,7.4,4535,4.73,85215094,,,,
Left Behind,Thriller,2014,16000000,19682924,3.7,392,0.23,3682924,,,,
Horrible Bosses 2,Comedy,2014,42000000,107670357,6.1,1536,1.56,65670357,,,,
This Is Where I Leave You,Drama,2014,19800000,41296320,6.5,505,1.09,21496320,,,,
Sex Tape,Comedy,2014,40000000,126069509,5.3,1695,2.15,86069509,,,,
Seventh Son,Adventure,2014,95000000,114178613,5.2,957,0.20,19178613,,,,
Transcendence,Thriller,2014,100000000,103039258,5.9,2295,0.03,3039258,,,,
Selma,History,2014,20000000,66787908,7.4,817,2.34,46787908,,,,
Moms' Night Out,Comedy,2014,5000000,10429707,5.5,121,1.09,5429707,,,,
Endless Love,Drama,2014,20000000,34077920,6.7,542,0.70,14077920,,,,
Jersey Boys,Music,2014,40000000,67347013,6.8,255,0.68,27347013,,,,
Neighbors,Comedy,2014,18000000,268157400,6.2,2713,13.90,250157400,,,,
And So It Goes,Comedy,2014,18000000,25312387,5.7,164,0.41,7312387,,,,
Aloft,Drama,2014,8000000,53086,5.1,41,-0.99,-7946914,,,,
The Fault in Our Stars,Romance,2014,12000000,307166834,7.6,3759,24.60,295166834,,,,
Fury,War,2014,68000000,211817906,7.4,3946,2.11,143817906,,,,
"As Above, So Below",Horror,2014,5000000,40100000,6.1,766,7.02,35100000,,,,
Still Alice,Drama,2014,5000000,43884652,7.5,1104,7.78,38884652,,,,
The Book of Life,Romance,2014,50000000,97437106,7.3,755,0.95,47437106,,,,
Non-Stop,Action,2014,50000000,222809600,6.8,2268,3.46,172809600,,,,
Into the Storm,Action,2014,50000000,160602194,5.8,817,2.21,110602194,,,,
The Expendables 3,Action,2014,90000000,206172544,6.1,1795,1.29,116172544,,,,
Hercules,Action,2014,100000000,243400000,5.6,1680,1.43,143400000,,,,
Before I Go to Sleep,Mystery,2014,22000000,15447154,6.2,659,-0.30,-6552846,,,,
Tammy,Comedy,2014,20000000,100525432,5,500,4.03,80525432,,,,
Barbecue,Comedy,2014,6000000,14348529,5.8,214,1.39,8348529,,,,
The Purge: Anarchy,Horror,2014,9000000,108782847,6.6,1954,11.09,99782847,,,,
Dolphin Tale 2,Family,2014,36000000,52424533,6.7,96,0.46,16424533,,,,
Son of God,Drama,2014,22000000,67800064,5.9,83,2.08,45800064,,,,
Boyhood,Drama,2014,4000000,44349000,7.5,1971,10.09,40349000,,,,
The Hundred-Foot Journey,Drama,2014,22000000,88880821,7.3,508,3.04,66880821,,,,
The Prince,Thriller,2014,18000000,266586800,4.6,218,13.81,248586800,,,,
The Judge,Drama,2014,50000000,83719388,7.2,1417,0.67,33719388,,,,
Into the Woods,Fantasy,2014,50000000,212902372,5.6,1652,3.26,162902372,,,,
Pompeii,Action,2014,130000000,117831631,5.2,1267,-0.09,-12168369,,,,
22 Jump Street,Crime,2014,50000000,188441614,7,3319,2.77,138441614,,,,
Ouija,Horror,2014,5000000,103590271,4.9,983,19.72,98590271,,,,
Paranormal Activity: The Marked Ones,Horror,2014,5000000,86362372,5.2,449,16.27,81362372,,,,
Let's Be Cops,Comedy,2014,17000000,136621271,6.4,1219,7.04,119621271,,,,
Think Like a Man Too,Comedy,2014,24000000,70181428,6.4,225,1.92,46181428,,,,
The Hunger Games: Mockingjay - Part 1,Sci-Fi,2014,125000000,752100229,6.6,5584,5.02,627100229,,,,
300: Rise of an Empire,Action,2014,110000000,337580051,6.1,2397,2.07,227580051,,,,
Teenage Mutant Ninja Turtles,Sci-Fi,2014,125000000,477200000,5.8,2636,2.82,352200000,,,,
Joe,Drama,2014,4000000,2365467,6.5,338,-0.41,-1634533,,,,
The Water Diviner,War,2014,22500000,15520023,6.8,431,-0.31,-6979977,,,,
Whiplash,Drama,2014,3300000,13092000,8.3,4254,2.97,9792000,,,,
Night at the Museum: Secret of the Tomb,Adventure,2014,127000000,349424282,6.1,1851,1.75,222424282,,,,
RoboCop,Action,2014,120000000,242688965,5.7,2342,1.02,122688965,,,,
Rio 2,Animation,2014,103000000,500188435,6.3,978,3.86,397188435,,,,
Black or White,Drama,2014,9000000,21571189,6.5,115,1.40,12571189,,,,
Draft Day,Drama,2014,25000000,28831145,6.5,304,0.15,3831145,,,,
Sabotage,Action,2014,35000000,17508518,5.5,555,-0.50,-17491482,,,,
The Maze Runner,Action,2014,34000000,348319861,7,5371,9.24,314319861,,,,
Miss Julie,Drama,2014,5500000,5000000,5.9,45,-0.09,-500000,,,,
Escobar: Paradise Lost,Thriller,2014,17000000,3758328,6.1,271,-0.78,-13241672,,,,
Paddington,Family,2014,55000000,259207227,7,883,3.71,204207227,,,,
Muppets Most Wanted,Comedy,2014,50000000,80383290,6.2,316,0.61,30383290,,,,
Earth to Echo,Family,2014,13000000,45300000,5.7,290,2.48,32300000,,,,
Song One,Drama,2014,6000000,32251,5.5,87,-0.99,-5967749,,,,
The Equalizer,Thriller,2014,55000000,192330738,7.1,2954,2.50,137330738,,,,
The Imitation Game,History,2014,14000000,233555708,8,5723,15.68,219555708,,,,
American Sniper,War,2014,58800000,542307423,7.4,4469,8.22,483507423,,,,
The Lego Movie,Adventure,2014,60000000,469160692,7.5,3070,6.82,409160692,,,,
The Homesman,Western,2014,16000000,3442853,6.4,258,-0.78,-12557147,,,,
Winter's Tale,Drama,2014,60000000,30800231,6,487,-0.49,-29199769,,,,
The Opposite Sex,Comedy,2014,3300000,45000,4.1,9,-0.99,-3255000,,,,
Ride Along,Action,2014,25000000,153997819,6.1,853,5.16,128997819,,,,
The Gambler,Thriller,2014,25000000,39171130,5.7,543,0.57,14171130,,,,
Mr. Peabody & Sherman,Animation,2014,145000000,272912430,6.7,843,0.88,127912430,,,,
Big Eyes,Drama,2014,10000000,28883511,6.8,1196,1.89,18883511,,,,
Penguins of Madagascar,Family,2014,132000000,373552094,6.5,1346,1.83,241552094,,,,
Noah,Drama,2014,125000000,362637473,5.6,2350,1.90,237637473,,,,
Million Dollar Arm,Drama,2014,25000000,38307627,6.6,259,0.53,13307627,,,,
The Giver,Drama,2014,25000000,66980456,6.4,1798,1.68,41980456,,,,
The Grand Budapest Hotel,Comedy,2014,30000000,174600318,8,4519,4.82,144600318,,,,
Wish I Was Here,Drama,2014,5500000,5483299,6.4,300,0.00,-16701,,,,
The Theory of Everything,Drama,2014,15000000,123726688,7.8,3311,7.25,108726688,,,,
Wild,Drama,2014,15000000,52501541,7,951,2.50,37501541,,,,
The Boxtrolls,Animation,2014,60000000,108255770,6.6,668,0.80,48255770,,,,
Beyond the Lights,Romance,2014,7000000,14618727,7,139,1.09,7618727,,,,
No Good Deed,Crime,2014,13200000,53830415,5.6,181,3.08,40630415,,,,
St. Vincent,Comedy,2014,13000000,54837234,7.1,763,3.22,41837234,,,,
Under the Skin,Thriller,2014,13300000,5380251,6,1102,-0.60,-7919749,,,,
Devil's Due,Horror,2014,7000000,36433975,4.4,216,4.20,29433975,,,,
About Last Night,Comedy,2014,12500000,49002684,6,210,2.92,36502684,,,,
A Most Wanted Man,Thriller,2014,15000000,31554855,6.5,541,1.10,16554855,,,,
When the Game Stands Tall,Drama,2014,15000000,30127963,6.3,130,1.01,15127963,,,,
Brick Mansions,Action,2014,28000000,68896829,5.7,615,1.46,40896829,,,,
Tusk,Comedy,2014,2800000,1826705,5.1,366,-0.35,-973295,,,,
Exodus: Gods and Kings,Adventure,2014,140000000,268031828,5.6,1921,0.91,128031828,,,,
How to Train Your Dragon 2,Fantasy,2014,145000000,609123048,7.6,3106,3.20,464123048,,,,
A Walk Among the Tombstones,Crime,2014,28000000,53181600,6.2,1131,0.90,25181600,,,,
The Best of Me,Drama,2014,26000000,35926213,7.2,765,0.38,9926213,,,,
The November Man,Crime,2014,15000000,32556119,6,639,1.17,17556119,,,,
Jack Ryan: Shadow Recruit,Action,2014,60000000,50549107,5.9,1173,-0.16,-9450893,,,,
The Legend of Hercules,Action,2014,70000000,61279452,4.4,533,-0.12,-8720548,,,,
Annabelle,Horror,2014,6500000,255273813,5.6,1517,38.27,248773813,,,,
Gone Girl,Mystery,2014,61000000,369330363,7.9,5862,5.05,308330363,,,,
Interstellar,Adventure,2014,165000000,675120017,8.1,10867,3.09,510120017,,,,
Dawn of the Planet of the Apes,Sci-Fi,2014,170000000,710644566,7.3,4410,3.18,540644566,,,,
The Signal,Thriller,2014,4000000,600896,5.8,631,-0.85,-3399104,,,,
47 Ronin,Drama,2013,175000000,150962475,5.9,1326,-0.14,-24037525,,,,
